karmn,Name,adopted_vsini_kms-1,adopted_err_kms-1,vsini_oc_kms-1,err_oc_kms-1,vsini_ni_kms-1,err_ni_kms-1,vsini_literature_kms-1,err_literature_kms-1,ref_literature,equatorial_velocity_kms-1,err_eq_velocity_kms-1
J16313+408,G 180-060,8.06656466535637,0.559884429014073,8.06656466535637,0.559884429014073,8.09690132033182,0.561901842884682,7.4,1.5,Rein18,17.15,0.46
J16327+126,GJ 1203,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J16462+164,LP 446-006,< 2,-,2,-,2,-,0.4,0.04,Rein18,-,-
J16554-083N,Wolf 629,< 2,-,2,-,2,-,0.2,0.02,Rein18,1.69,0.03
J16555-083,VB 8,5.61319823964502,0.188774237032296,5.61319823964502,0.188774237032296,5.62081123096283,0.199730518403301,4,1.5,Rein18,5.36,0.54
J16570-043,LP 686-027,10.7497963597203,0.447921176437343,10.7497963597203,0.447921176437343,10.7569407339157,0.450418193060428,9.7,1.5,Rein18,24.35,0.25
J16578+473,HD 153557B,< 2,-,4.97124351127133,1.30132419628606,2,-,-,-,,-,-
J16581+257,BD+25 3173,< 2,-,2,-,2,-,0.3,0.03,Rein18,1.06,0.01
J17033+514,G 203-042,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.09,0
J17052-050,Wolf 636,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.48,0
J17071+215,Ross 863,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J17115+384,Wolf 654,< 2,-,2,-,2,-,-,-,-,0.3,0.01
J17166+080,GJ 2128,< 2,-,2,-,2,-,2,0.2,Rein18,-,-
J17198+417,GJ 671,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.25,0
J17303+055,BD+05 3409,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.76,0
J17338+169,1RXS J173353.5+165515,41.025784444347,2.73503723172973,41.025784444347,2.73503723172973,41.0041696143401,2.66380279116984,38,7.7,Rein18,60.92,16.09
